,nome,genero,dtAtualizacao,nEpisodiosTotal,nEpisodios,status,img,link
890,Saiki Kusuo no Psi-nan 2,"Comédia, Escolar, Shounen, Sobrenatural",03/01/2018,17,24,Lançando,https://punchsubs.net/imagens/projetos/animes/2492_thumb2.jpg,https://punchsubs.net/principal#listar/2492/episodios/stream/1
891,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga","Comédia, Romance, Shounen",04/01/2014,12,12,Nota: ImoCho,https://punchsubs.net/imagens/projetos/animes/404_thumb2.jpg,https://punchsubs.net/principal#listar/404/episodios/stream/1
892,Saint Seiya (Blu-Ray),"Ação, Fantasia, Artes Marciais, Shounen, Super Poderes, Tragedia, Violencia",19/07/2014,81,114,Completo,https://punchsubs.net/imagens/projetos/animes/505_thumb2.jpg,https://punchsubs.net/principal#listar/505/episodios/stream/1
893,Saint Seiya - The Lost Canvas - Meiou Shinwa,Gênero:,21/07/2011,26,13,Completo,https://punchsubs.net/imagens/projetos/animes/14_thumb2.jpg,https://punchsubs.net/principal#listar/14/ovas/stream/1
894,Saint Seiya Omega,"Ação, Artes Marciais, Fantasia, Super Poderes, Shounen",09/06/2013,97,97,Completo,https://punchsubs.net/imagens/projetos/animes/187_thumb2.jpg,https://punchsubs.net/principal#listar/187/episodios/stream/1
895,Saint Seiya: A Grande Batalha dos Deuses,"Ação, Fantasia, Shounen",27/02/2014,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/430_thumb2.jpg,https://punchsubs.net/principal#listar/430/filmes/stream/1
896,Saint Seiya: A Lenda do Jovem Escarlate,"Ação, Fantasia, Shounen",15/03/2014,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/431_thumb2.jpg,https://punchsubs.net/principal#listar/431/filmes/stream/1
897,Saint Seiya: Hades - Elísios,"Ação, Fantasia, Shounen",17/04/2015,6,6,Completo,https://punchsubs.net/imagens/projetos/animes/638_thumb2.jpg,https://punchsubs.net/principal#listar/638/episodios/stream/1
898,Saint Seiya: Hades - Inferno,"Ação, Fantasia, Shounen",20/08/2014,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/510_thumb2.jpg,https://punchsubs.net/principal#listar/510/episodios/stream/1
899,Saint Seiya: Hades - Santuário,"Ação, Fantasia, Shounen",20/04/2014,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/474_thumb2.jpg,https://punchsubs.net/principal#listar/474/episodios/stream/1
900,Saint Seiya: Legend of Sanctuary,"Ação, Fantasia, Shounen",18/12/2014,1,1,Lançando,https://punchsubs.net/imagens/projetos/animes/559_thumb2.jpg,https://punchsubs.net/principal#listar/559/filmes/stream/1
901,Saint Seiya: O Prólogo do Céu,"Ação, Fantasia, Shounen",30/03/2014,1,1,Lançando,https://punchsubs.net/imagens/projetos/animes/435_thumb2.jpg,https://punchsubs.net/principal#listar/435/filmes/stream/1
902,Saint Seiya: O Santo Guerreiro,"Ação, Fantasia, Shounen",16/02/2014,1,1,"Nota: Título Original: Éris, a Deusa Maligna",https://punchsubs.net/imagens/projetos/animes/428_thumb2.jpg,https://punchsubs.net/principal#listar/428/filmes/stream/1
903,Saint Seiya: Os Guerreiros do Armagedon,"Ação, Fantasia, Shounen",22/03/2014,1,1,Completo,https://punchsubs.net/imagens/projetos/animes/434_thumb2.jpg,https://punchsubs.net/principal#listar/434/filmes/stream/1
904,Saint Seiya: Soul of Gold,Gênero:,10/04/2015,13,13,Completo,https://punchsubs.net/imagens/projetos/animes/634_thumb2.jpg,https://punchsubs.net/principal#listar/634/episodios/stream/1
905,Saiyuuki Reload Blast,"Ação, Aventura, Comédia, Supernatural, Drama, Josei",05/07/2017,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/2219_thumb2.jpg,https://punchsubs.net/principal#listar/2219/episodios/stream/1
906,Sakamichi no Apollon,"Josei, Mangá",28/06/2012,12,12,Completo,https://punchsubs.net/imagens/projetos/animes/208_thumb2.jpg,https://punchsubs.net/principal#listar/208/episodios/stream/1
